# Tue 03:54:05 13-Jul-99
# begin stars.dat
# spatial uniform
# xmin 1.
# xmax 2048.
# ymin 1.
# ymax 2048.
# luminosity salpeter
# mzero -4.
# minmag -7.
# maxmag 0.
# nssample 100
# sorder 10
# sseed 1
# nlsample 100
# lorder 10
# lseed 1
# nstars 500
         272.421 3.051 -2.873
         623.492 8.916 -0.237
         636.182 11.566 -0.159
        1884.890 15.001 -0.557
         458.591 22.504 -5.835
        1982.339 24.576 -5.912
        1161.909 25.905 -5.672
         456.093 37.664 -1.183
        1750.934 40.126 -2.077
         992.220 42.461 -3.131
        1998.407 45.640 -0.534
         473.246 50.265 -2.231
        1937.888 59.693 -0.645
        1735.268 64.732 -3.331
        1298.277 67.335 -6.501
        1063.774 68.485 -4.310
         932.360 70.101 -5.102
        1794.961 73.433 -1.345
         600.022 73.736 -2.585
         889.004 78.908 -2.344
         107.078 80.314 -4.012
        1260.497 85.490 -2.179
         367.383 88.170 -1.823
        1094.387 89.326 -0.100
        1661.459 95.098 -1.913
         988.643 97.263 -0.108
        1505.367 105.237 -0.888
         568.298 105.975 -0.511
         179.365 111.017 -3.572
        1817.852 116.486 -0.005
        1183.051 116.984 -0.870
        1665.367 121.931 -2.230
         539.057 132.823 -1.340
         721.580 133.294 -0.073
         984.027 137.323 -1.498
        1080.633 148.070 -4.689
         273.848 149.149 -4.403
        1575.927 150.419 -3.706
         866.816 155.304 -2.052
        1120.675 159.497 -0.583
        1249.482 174.598 -0.361
         316.958 175.534 -5.737
         824.244 183.204 -2.100
        1856.605 186.658 -0.792
        1374.824 194.085 -3.266
         117.160 194.913 -2.466
        1914.153 199.523 -0.999
        1540.780 202.304 -2.836
        1362.964 204.156 -1.532
         889.948 205.922 -4.659
          86.093 211.366 -5.940
         893.292 212.524 -2.624
        1728.771 213.511 -2.116
        1071.863 215.468 -0.907
         508.243 217.056 -3.370
        2045.176 223.014 -4.113
         222.809 225.139 -2.169
        1073.679 226.708 -5.591
        1540.743 226.810 -2.949
         390.817 229.398 -5.024
        1276.154 249.710 -1.644
        1443.533 252.364 -5.157
        1657.703 252.945 -0.989
        1148.244 253.952 -0.832
        1062.338 254.798 -0.300
        1258.049 258.817 -1.751
         380.506 266.637 -0.633
        1303.451 267.683 -3.144
        1512.734 269.798 -3.169
         669.836 282.278 -2.060
         153.321 282.597 -2.771
        1124.898 286.320 -3.096
         696.158 288.007 -1.945
        1889.195 288.533 -1.732
        1259.664 290.630 -2.540
         148.459 294.473 -4.207
        1176.805 302.024 -6.122
         961.898 305.518 -2.103
        2027.244 307.171 -1.442
         760.330 307.285 -0.843
         458.166 312.743 -0.535
        1663.516 314.592 -2.178
         894.069 314.648 -6.605
          58.831 316.933 -0.896
           4.764 325.725 -0.942
        1288.614 334.720 -6.164
         562.666 338.369 -1.053
         750.918 342.572 -3.647
         958.429 348.369 -4.868
        1995.495 358.609 -5.024
         928.629 367.188 -0.062
        1835.054 369.609 -3.345
        1626.417 375.993 -1.145
        1756.961 380.063 -5.690
         702.859 380.406 -4.224
        1937.954 381.048 -5.351
         614.782 394.053 -1.514
         797.844 397.974 -1.328
        1612.239 410.244 -0.082
        1169.127 417.389 -1.386
         878.759 433.379 -2.711
         959.101 436.857 -0.871
        1840.551 436.892 -6.427
        1904.424 437.013 -1.007
        1044.677 438.708 -0.757
         763.141 442.951 -3.900
        1971.020 443.600 -1.076
         184.065 452.020 -1.291
        1953.038 464.652 -2.968
         433.574 465.490 -2.231
         999.069 467.755 -4.808
